,Other_Road_List
200,"young parkway,john young parkway,pk way,young pk way,rdamericana boulevard,conroy rdamericana boulevard,rig heights,blvd rig heights,right lane,blvd right lane,la street,blocked la street"
201,"rig heights,cr-234 rig heights,right lane,cr-234 right lane,la street,blocked la street"
202,"rig heights,362 rig heights,right lane,362 right lane,la street,blocked la street"
203,"bay meadows,before bay meadows,le fort,2 le fort"
204,"w estate,sr-408 w estate,we street,sr-408 we street,toll plaza,at toll plaza,rig heights,plaza rig heights,right lane,plaza right lane,la street,blocked la street"
205,"bay meadows,before bay meadows,le fort,baymeadows le fort,left lane,baymeadows left lane"
206,"rig heights,sr-40 rig heights,right lane,sr-40 right lane,la street,blocked la street"
207,"rig heights,us-90 rig heights,right lane,us-90 right lane,la street,blocked la street"
208,"breva road,in breva road,le fort,165 le fort,left lane,165 left lane,la street,blocked la street"
209,"rig heights,us-90 rig heights,right lane,us-90 right lane,la street,blocked la street"
210,"ea street,i-4 ea street,la street,sr-436 la street"
211,"w estate,sr-836 w estate,we street,sr-836 we street,le fort,i-95 le fort,left lane,i-95 left lane,la street,blocked la street"
212,"le fort,us-90 le fort,left lane,us-90 left lane,la street,blocked la street"
213,"rig heights,363 rig heights,right lane,363 right lane,la street,blocked la street"
214,"le fort,i-75 le fort,left lane,i-75 left lane,la street,blocked la street"
215,"le fort,i-75 le fort,left lane,i-75 left lane,la street,blocked la street"
216,"breva road,in breva road,ray drive,sea ray drive,w estate,dr w estate,we street,dr we street,25th avenue,at 25th avenue,la street,blocked la street"
217,"bay meadows,before bay meadows,le fort,baymeadows le fort,left lane,baymeadows left lane,la street,waze la street"
218,"95 expressway,on 95 expressway,81 street,stnw 81 street,rig heights,st rig heights,right lane,st right lane,la street,blocked la street"
219,"81 street,stnw 81 street,la street,blocked la street"
220,"81 street,stnw 81 street"
221,"before river,north before river,river road,before river road,rig heights,rd rig heights,right lane,rd right lane,la street,blocked la street"
222,"81 street,stnw 81 street"
223,"emergency road,new: emergency road,ea street,i-10 ea street,rig heights,339 rig heights,right lane,339 right lane,la street,blocked la street"
224,"95 expressway,on 95 expressway,103 street,sr-932nw 103 street,le fort,st le fort,left lane,st left lane,la street,blocked la street"
225,"new: bridge,b ridge,new: b ridge,butler boulevard,sr-202 butler boulevard,w estate,blvd w estate,we street,blvd we street,rig heights,intracoastal rig heights,right lane,intracoastal right lane"
226,"95 expressway,on 95 expressway,151 street,nw 151 street,la street,blocked la street"
227,"obje court,new: obje court,road way,on road way,butler boulevard,sr-202 butler boulevard,ea street,blvd ea street,le fort,e le fort,left lane,e left lane,la street,blocked la street"
228,"95 expressway,on 95 expressway,151 street,nw 151 street,rig heights,st rig heights,right lane,st right lane,la street,blocked la street"
229,"palm beach,in palm beach,quadrille boulevard,on quadrille boulevard,ea street,blvd ea street,flagler drive,at flagler drive,le fort,drive le fort,turn lane,left turn lane,la street,blocked la street"
230,"browa road,in browa road,university drive,on university drive,sheridan street,beyond sheridan street,rig heights,2 rig heights,la street,blocked la street"
231,"w estate,sr-826 w estate,we street,sr-826 we street,aveludlam road,67 aveludlam road,rig heights,rd rig heights,right lane,rd right lane,la street,blocked la street"
232,"ea street,i-10 ea street,la street,blocked la street"
233,"ea street,i-10 ea street,la street,blocked la street"
234,"browa road,in browa road,university drive,on university drive,sheridan street,beyond sheridan street,la street,blocked la street"
235,"w estate,sr-826 w estate,we street,sr-826 we street,aveludlam road,67 aveludlam road,rig heights,rd rig heights,right lane,rd right lane,la street,blocked la street"
236,"browa road,in browa road,university drive,on university drive,sheridan street,beyond sheridan street,la street,blocked la street"
237,"emergency road,updated: emergency road,toll plaza,at toll plaza,le fort,2 le fort,la street,blocked la street"
238,"le fort,us-90 le fort,left lane,us-90 left lane,la street,blocked la street"
