,Other_Road_List
731,"r heights,exit32 r heights,rht lane,exit32 rht lane"
732,"l fort,exit39 l fort,lft lane,exit39 lft lane"
733,"l fort,exit60 l fort,lft lane,exit60 lft lane"
734,"at road,nb: at road,rd-spartan burg,191-bryant rd-spartan burg,l fort,2 l fort"
735,None
736,None
737,"r heights,exit80 r heights,rht lane,exit80 rht lane"
738,"r heights,exit44 r heights,rht lane,exit44 rht lane"
739,"r heights,exit16 r heights,rht lane,exit16 rht lane"
740,"rd-green ville,51a-sc146-woodruff rd-green ville"
741,"l fort,exit57 l fort,lft lane,exit57 lft lane"
742,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,2 l fort"
743,None
744,"l fort,2 l fort"
745,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,2 l fort"
746,"r heights,exit1 r heights,rht lane,exit1 rht lane"
747,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,2 l fort"
748,"r heights,exit95 r heights,rht lane,exit95 rht lane"
749,"l fort,exit95 l fort,lft lane,exit95 lft lane"
750,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,2 l fort"
751,None
752,"l fort,2 l fort"
753,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,rd-greenville l fort,lft lane,rd-greenville lft lane"
754,"51c-i385n-green ville,exit 51c-i385n-green ville"
755,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,exit54 l fort,lft lane,exit54 lft lane"
756,"l fort,exit37 l fort,lft lane,exit37 lft lane"
757,"r heights,exit83 r heights,rht lane,exit83 rht lane"
758,"r heights,exit1 r heights,rht lane,exit1 rht lane"
759,"r heights,2 r heights"
760,"r heights,exit83 r heights,rht lane,exit83 rht lane"
761,"l fort,exit69 l fort,lft lane,exit69 lft lane"
762,"r heights,i385-clinton r heights,rht lane,i385-clinton rht lane"
763,None
764,"r heights,exit87 r heights,rht lane,exit87 rht lane"
765,"l fort,exit16 l fort,lft lane,exit16 lft lane"
766,None
767,"rd-green ville,51a-sc146-woodruff rd-green ville"
768,"nc street,at nc street,r heights,2 r heights"
769,"nc street,at nc street"
770,"nc street,at nc street,r heights,line r heights,rht lane,line rht lane"
771,"r heights,exit90 r heights,rht lane,exit90 rht lane"
772,None
773,None
774,"51c-i385n-green ville,exit 51c-i385n-green ville,l fort,51c-i385n-greenville l fort,lft lane,51c-i385n-greenville lft lane"
775,"51c-i385n-green ville,exit 51c-i385n-green ville"
776,None
777,"51c-i385n-green ville,exit 51c-i385n-green ville,l fort,51c-i385n-greenville l fort,lft lane,51c-i385n-greenville lft lane"
778,"l fort,exit54 l fort,lft lane,exit54 lft lane"
779,"r heights,exit77 r heights,rht lane,exit77 rht lane"
780,"r heights,i385-clinton r heights,rht lane,i385-clinton rht lane"
781,"l fort,exit19b l fort,lft lane,exit19b lft lane"
782,"r heights,exit11 r heights,rht lane,exit11 rht lane"
783,None
784,"r heights,exit95 r heights,rht lane,exit95 rht lane"
785,"r heights,i385-clinton r heights,rht lane,i385-clinton rht lane"
786,"r heights,exit87 r heights,rht lane,exit87 rht lane"
787,None
788,None
789,None
790,"r heights,exit90 r heights,rht lane,exit90 rht lane"
791,"r heights,exit37 r heights,rht lane,exit37 rht lane"
792,"r heights,2 r heights"
793,"r heights,exit11 r heights,rht lane,exit11 rht lane"
794,"l fort,exit4 l fort,lft lane,exit4 lft lane"
795,"l fort,i385-clinton l fort,lft lane,i385-clinton lft lane"
796,None
797,None
798,"r heights,2 r heights"
799,"rd-green ville,51a-sc146-woodruff rd-green ville,r heights,rd-greenville r heights,rht lane,rd-greenville rht lane"
800,"3:32pm expressway,ocrd: 3:32pm expressway"
801,None
802,"1:54pm expressway,from: 1:54pm expressway"
803,"r heights,exit2a r heights,rht lane,exit2a rht lane"
804,"road way,on road way"
805,None
806,None
807,"r heights,exit58 r heights,rht lane,exit58 rht lane"
808,"road way,on road way,r heights,exit35 r heights,rht lane,exit35 rht lane"
809,None
810,"12:10pm expressway,from: 12:10pm expressway"
811,"11:54am expressway,ocrd: 11:54am expressway"
812,"l fort,exit77 l fort,lft lane,exit77 lft lane"
813,None
814,None
815,None
816,"l fort,2 l fort"
817,None
818,"r heights,exit39 r heights,rht lane,exit39 rht lane"
819,"rd-green ville,51a-sc146-woodruff rd-green ville"
820,"rd-green ville,51a-sc146-woodruff rd-green ville,r heights,rd-greenville r heights,rht lane,rd-greenville rht lane"
821,"r heights,exit63 r heights,rht lane,exit63 rht lane"
822,"road way,on road way"
823,"rd-green ville,51a-sc146-woodruff rd-green ville,4:12pm expressway,ocrd: 4:12pm expressway"
824,"rd-green ville,51a-sc146-woodruff rd-green ville"
825,"5:47pm expressway,ocrd: 5:47pm expressway"
826,None
827,"l fort,exit56 l fort,lft lane,exit56 lft lane"
828,None
829,"r heights,exit35 r heights,rht lane,exit35 rht lane"
830,"r heights,exit35 r heights,rht lane,exit35 rht lane,5:27pm expressway,ocrd: 5:27pm expressway"
831,"r heights,exit35 r heights,rht lane,exit35 rht lane"
832,"46a46b46c-sc291-augu station,exits 46a46b46c-sc291-augu station,rd-green ville,rdmauldin rd-green ville,mid lane,rd-greenville mid lane"
833,"rd-green ville,51a-sc146-woodruff rd-green ville,r heights,rd-greenville r heights,rht lane,rd-greenville rht lane"
834,"r heights,exit35 r heights,rht lane,exit35 rht lane,11:47am expressway,ocrd: 11:47am expressway"
835,"r heights,exit35 r heights,rht lane,exit35 rht lane"
836,"rd-green ville,51a-sc146-woodruff rd-green ville"
837,None
838,"l fort,exit36a l fort,lft lane,exit36a lft lane"
839,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,2 l fort"
840,"rd-green ville,51a-sc146-woodruff rd-green ville,l fort,rd-greenville l fort,lft lane,rd-greenville lft lane"
841,"r heights,2 r heights"
842,"mid lane,exit35 mid lane"
843,None
844,"r heights,exit1 r heights,rht lane,exit1 rht lane"
845,None
846,"r heights,exit1 r heights,rht lane,exit1 rht lane"
847,None
848,"8:33am expressway,ocrd: 8:33am expressway"
849,"9:45am expressway,ocrd: 9:45am expressway"
850,None
851,None
852,"l fort,exit70 l fort,lft lane,exit70 lft lane"
853,"r heights,exit63 r heights,rht lane,exit63 rht lane"
854,"r heights,2 r heights"
855,"7:51am expressway,ocrd: 7:51am expressway"
856,None
857,"r heights,exit63 r heights,rht lane,exit63 rht lane"
858,None
859,"rd-green ville,51a-sc146-woodruff rd-green ville,7:53am expressway,from: 7:53am expressway"
860,"l fort,exit63 l fort,lft lane,exit63 lft lane"
861,"l fort,exit16 l fort,lft lane,exit16 lft lane"
862,"l fort,exit54 l fort,lft lane,exit54 lft lane,7:36am expressway,ocrd: 7:36am expressway"
863,"l fort,exit104 l fort,lft lane,exit104 lft lane"
864,"l fort,exit92 l fort,lft lane,exit92 lft lane"
865,"l fort,exit87 l fort,lft lane,exit87 lft lane"
866,None
867,None
868,"l fort,exit87 l fort,lft lane,exit87 lft lane"
869,"l fort,exit104 l fort,lft lane,exit104 lft lane"
870,"r heights,exit88 r heights,rht lane,exit88 rht lane"
871,"l fort,exit22 l fort,lft lane,exit22 lft lane"
872,"l fort,exit10 l fort,lft lane,exit10 lft lane"
873,None
874,None
875,"mid lane,i126-columbia mid lane"
876,None
877,"road way,on road way"
878,None
879,"l fort,florence-columbia l fort,lft lane,florence-columbia lft lane"
880,"l fort,florence-columbia l fort,lft lane,florence-columbia lft lane"
881,None
882,"l fort,exit5 l fort,lft lane,exit5 lft lane"
883,"r heights,exit5 r heights,rht lane,exit5 rht lane"
884,None
885,"l fort,exit16 l fort,lft lane,exit16 lft lane"
886,None
887,"l fort,exit92 l fort,lft lane,exit92 lft lane"
888,"l fort,exit19 l fort,lft lane,exit19 lft lane"
889,None
890,"r heights,exit19 r heights,rht lane,exit19 rht lane"
891,"r heights,exit19 r heights,rht lane,exit19 rht lane"
892,"r heights,i126-columbia r heights,rht lane,i126-columbia rht lane"
893,"r heights,2 r heights"
894,"l fort,exit101a l fort,lft lane,exit101a lft lane"
895,"r heights,2 r heights"
896,"l fort,2 l fort"
897,"r heights,2 r heights"
898,"l fort,exit55 l fort,lft lane,exit55 lft lane"
899,"l fort,2 l fort"
900,None
901,"l fort,exit12 l fort,lft lane,exit12 lft lane"
902,"avehuger street,freeway-elwood avehuger street,l fort,st l fort,lft lane,st lft lane"
903,None
904,None
905,"r heights,i126-columbia r heights,rht lane,i126-columbia rht lane"
906,"r heights,exit19 r heights,rht lane,exit19 rht lane"
907,"r heights,exit48 r heights,rht lane,exit48 rht lane"
908,"r heights,exit16 r heights,rht lane,exit16 rht lane"
909,"r heights,exit16 r heights,rht lane,exit16 rht lane"
910,None
911,"r heights,exit16 r heights,rht lane,exit16 rht lane"
912,"l fort,exit65 l fort,lft lane,exit65 lft lane"
913,"road way,on road way"
914,"road way,on road way,r heights,exit55 r heights,rht lane,exit55 rht lane"
915,None
916,"road way,on road way,r heights,exit5 r heights,rht lane,exit5 rht lane"
917,None
918,None
919,"r heights,exit17 r heights,rht lane,exit17 rht lane"
920,"l fort,exit46 l fort,lft lane,exit46 lft lane"
921,None
922,"l fort,exit19 l fort,lft lane,exit19 lft lane"
923,"r heights,exit16 r heights,rht lane,exit16 rht lane"
924,"r heights,exit91 r heights,rht lane,exit91 rht lane"
925,"l fort,2 l fort"
926,"avehuger street,freeway-elwood avehuger street,l fort,st l fort,lft lane,st lft lane"
927,"l fort,2 l fort"
928,"r heights,2 r heights"
929,"l fort,2 l fort"
930,"l fort,2 l fort"
931,"r heights,exit58 r heights,rht lane,exit58 rht lane"
932,"l fort,exit15a l fort,lft lane,exit15a lft lane"
933,"l fort,exit55 l fort,lft lane,exit55 lft lane"
934,"r heights,exit108a r heights,rht lane,exit108a rht lane"
935,None
936,"l fort,exit12 l fort,lft lane,exit12 lft lane"
937,None
938,None
939,"l fort,exit19 l fort,lft lane,exit19 lft lane"
940,"r heights,exit2 r heights,rht lane,exit2 rht lane"
941,"l fort,exit12 l fort,lft lane,exit12 lft lane"
942,None
943,None
944,"avehuger street,freeway-elwood avehuger street,r heights,st r heights,rht lane,st rht lane"
945,None
946,"r heights,exit19 r heights,rht lane,exit19 rht lane"
947,"r heights,exit106 r heights,rht lane,exit106 rht lane"
948,"r heights,exit16 r heights,rht lane,exit16 rht lane"
949,None
950,"r heights,2 r heights"
951,"r heights,exit106 r heights,rht lane,exit106 rht lane"
952,"r heights,exit17 r heights,rht lane,exit17 rht lane"
953,None
954,None
955,None
956,"l fort,exit65 l fort,lft lane,exit65 lft lane"
957,None
958,"l fort,2 l fort"
959,"l fort,exit17 l fort,lft lane,exit17 lft lane"
960,None
961,"l fort,exit63 l fort,lft lane,exit63 lft lane"
962,None
963,"r heights,2 r heights"
964,None
965,None
966,"l fort,exit97 l fort,lft lane,exit97 lft lane"
967,None
968,"road way,on road way,r heights,exit85 r heights,rht lane,exit85 rht lane"
969,None
970,"l fort,exit51 l fort,lft lane,exit51 lft lane"
971,"l fort,2 l fort"
972,"6:39pm expressway,ocrd: 6:39pm expressway"
973,"4:24pm expressway,from: 4:24pm expressway"
974,None
975,"l fort,exit111a l fort,lft lane,exit111a lft lane"
976,"l fort,exit113 l fort,lft lane,exit113 lft lane"
977,"3:32pm expressway,ocrd: 3:32pm expressway"
978,None
979,"3:38pm expressway,ocrd: 3:38pm expressway"
980,None
981,"l fort,2 l fort"
982,None
983,None
984,None
985,"1:07pm expressway,ocrd: 1:07pm expressway"
986,None
987,None
988,None
989,"r heights,exit104 r heights,rht lane,exit104 rht lane"
990,"r heights,exit106 r heights,rht lane,exit106 rht lane"
991,None
992,None
993,"road way,on road way,9:36am expressway,ocrd: 9:36am expressway"
994,None
995,"road way,on road way,r heights,exit27 r heights,rht lane,exit27 rht lane"
996,"l fort,exit58 l fort,lft lane,exit58 lft lane"
997,"2:56am expressway,ocrd: 2:56am expressway"
998,None
999,"l fort,florence-columbia l fort,lft lane,florence-columbia lft lane"
1000,None
1001,"l fort,exit97 l fort,lft lane,exit97 lft lane"
1002,None
1003,"r heights,exit97 r heights,rht lane,exit97 rht lane"
1004,None
1005,"l fort,exit97 l fort,lft lane,exit97 lft lane"
1006,"11:09pm expressway,ocrd: 11:09pm expressway"
1007,None
1008,"l fort,exit34 l fort,lft lane,exit34 lft lane"
1009,None
1010,"road way,on road way,r heights,exit82 r heights,rht lane,exit82 rht lane,9:52pm expressway,ocrd: 9:52pm expressway"
1011,"road way,on road way,r heights,exit82 r heights,rht lane,exit82 rht lane"
1012,"r heights,exit19 r heights,rht lane,exit19 rht lane"
1013,"4:37pm expressway,ocrd: 4:37pm expressway"
1014,None
1015,"l fort,exit111b l fort,lft lane,exit111b lft lane"
1016,"3:32pm expressway,ocrd: 3:32pm expressway"
1017,None
1018,"l fort,exit129 l fort,lft lane,exit129 lft lane"
1019,None
1020,"r heights,exit111b r heights,rht lane,exit111b rht lane"
1021,"road way,on road way,l fort,2 l fort"
1022,"road way,on road way,l fort,exit80 l fort,lft lane,exit80 lft lane"
1023,None
1024,"road way,on road way,l fort,exit6b l fort,lft lane,exit6b lft lane"
1025,None
1026,"l fort,exit110 l fort,lft lane,exit110 lft lane"
1027,"road way,on road way,mid lane,exit2 mid lane"
1028,"8:39am expressway,ocrd: 8:39am expressway"
1029,"road way,on road way"
1030,None
1031,"11:50pm expressway,ocrd: 11:50pm expressway"
1032,None
1033,"r heights,exit97 r heights,rht lane,exit97 rht lane,8:16pm expressway,ocrd: 8:16pm expressway"
1034,"r heights,exit97 r heights,rht lane,exit97 rht lane"
1035,None
1036,None
1037,"ga street,& ga street,3:49pm expressway,from: 3:49pm expressway"
1038,"ga street,& ga street"
1039,None
1040,None
1041,None
1042,"1:33pm expressway,from: 1:33pm expressway"
1043,"l fort,exit101a l fort,lft lane,exit101a lft lane"
1044,None
1045,"r heights,exit17 r heights,rht lane,exit17 rht lane"
1046,"r heights,exit17 r heights,rht lane,exit17 rht lane"
1047,None
1048,None
1049,None
1050,None
1051,None
1052,None
1053,"l fort,2 l fort"
1054,None
1055,None
1056,None
1057,None
1058,"l fort,2 l fort"
1059,"l fort,exit68 l fort,lft lane,exit68 lft lane"
1060,"ga street,& ga street,8:59am expressway,from: 8:59am expressway"
1061,"ga street,& ga street"
1062,"4:30pm expressway,from: 4:30pm expressway"
1063,"junior bridge,ravenel junior bridge,b ridge,junior b ridge,l fort,bridge l fort,lft lane,bridge lft lane"
1064,"l fort,2 l fort"
1065,"l fort,exit211 l fort,lft lane,exit211 lft lane"
1066,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1067,None
1068,None
1069,"junior bridge,ravenel junior bridge,b ridge,junior b ridge,r heights,bridge r heights,rht lane,bridge rht lane"
1070,None
1071,"l fort,exit20 l fort,lft lane,exit20 lft lane"
1072,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1073,"r heights,exit98 r heights,rht lane,exit98 rht lane"
1074,"l fort,2 l fort"
1075,"l fort,exit101a l fort,lft lane,exit101a lft lane"
1076,"l fort,exit22 l fort,lft lane,exit22 lft lane"
1077,"l fort,exit18 l fort,lft lane,exit18 lft lane"
1078,None
1079,"r heights,2 r heights"
1080,None
1081,"l fort,2 l fort"
1082,"l fort,exit209 l fort,lft lane,exit209 lft lane"
1083,"l fort,2 l fort"
1084,None
1085,"l fort,exit211 l fort,lft lane,exit211 lft lane"
1086,None
1087,None
1088,"l fort,exit20 l fort,lft lane,exit20 lft lane"
1089,"l fort,exit20 l fort,lft lane,exit20 lft lane"
1090,"l fort,2 l fort"
1091,"l fort,exit211 l fort,lft lane,exit211 lft lane"
1092,"l fort,exit212b l fort,lft lane,exit212b lft lane"
1093,"r heights,exit18 r heights,rht lane,exit18 rht lane"
1094,None
1095,"l fort,exit8 l fort,lft lane,exit8 lft lane"
1096,None
1097,None
1098,"l fort,exit33 l fort,lft lane,exit33 lft lane"
1099,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1100,None
1101,"r heights,exit215 r heights,rht lane,exit215 rht lane"
1102,None
1103,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1104,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1105,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1106,None
1107,"r heights,exit11b r heights,rht lane,exit11b rht lane"
1108,None
1109,None
1110,"r heights,exit20 r heights,rht lane,exit20 rht lane"
1111,None
1112,None
1113,None
1114,None
1115,"l fort,exit217 l fort,lft lane,exit217 lft lane"
1116,None
1117,None
1118,None
1119,"l fort,2 l fort"
1120,"3:52pm expressway,from: 3:52pm expressway"
1121,"l fort,exit154a l fort,lft lane,exit154a lft lane"
1122,"r heights,exit154a r heights,rht lane,exit154a rht lane"
1123,"4:24pm expressway,from: 4:24pm expressway"
1124,"3:45pm expressway,from: 3:45pm expressway"
1125,None
1126,None
1127,"3:31pm expressway,from: 3:31pm expressway"
1128,None
1129,None
1130,None
1131,None
1132,None
1133,None
1134,None
1135,"update: road,l fort,exit215 l fort,lft lane,exit215 lft lane"
1136,None
1137,"11:58am expressway,ocrd: 11:58am expressway"
1138,"12:21pm expressway,from: 12:21pm expressway"
1139,None
1140,None
1141,"12:21pm expressway,from: 12:21pm expressway"
1142,"ga street,of ga street"
1143,None
1144,"ga street,of ga street"
1145,None
1146,"update: road,l fort,exit215 l fort,lft lane,exit215 lft lane"
1147,"l fort,exit215 l fort,lft lane,exit215 lft lane"
1148,"3:24am expressway,ocrd: 3:24am expressway"
1149,None
1150,"3:24am expressway,ocrd: 3:24am expressway"
1151,"3:24am expressway,ocrd: 3:24am expressway"
1152,"3:51am expressway,from: 3:51am expressway"
1153,None
1154,None
1155,None
1156,"l fort,exit212b l fort,lft lane,exit212b lft lane"
1157,"l fort,2 l fort"
1158,"3:27pm expressway,9142018 3:27pm expressway"
1159,"5:11pm expressway,ocrd: 5:11pm expressway"
1160,None
1161,"3:32pm expressway,ocrd: 3:32pm expressway"
1162,None
1163,"l fort,exit129 l fort,lft lane,exit129 lft lane"
1164,None
1165,None
1166,None
1167,"l fort,exit42 l fort,lft lane,exit42 lft lane,12:05pm expressway,ocrd: 12:05pm expressway"
1168,"r heights,exit219a r heights,rht lane,exit219a rht lane"
1169,"l fort,exit42 l fort,lft lane,exit42 lft lane"
1170,"road way,on road way,r heights,exit187 r heights,rht lane,exit187 rht lane,6:01am expressway,ocrd: 6:01am expressway"
1171,"road way,on road way,r heights,exit187 r heights,rht lane,exit187 rht lane"
1172,"3:21am expressway,from: 3:21am expressway"
1173,None
1174,"road way,on road way"
1175,"road way,on road way"
1176,None
1177,None
1178,None
1179,"junior bridge,ravenel junior bridge,b ridge,junior b ridge"
1180,None
1181,None
1182,"junior bridge,ravenel junior bridge,b ridge,junior b ridge"
1183,None
1184,"junior bridge,ravenel junior bridge,b ridge,junior b ridge,r heights,bridge r heights,rht lane,bridge rht lane"
1185,"junior bridge,ravenel junior bridge,b ridge,junior b ridge,r heights,bridge r heights,rht lane,bridge rht lane"
1186,"ga street,of ga street"
1187,"r heights,exit23a r heights,rht lane,exit23a rht lane"
1188,"ga street,of ga street"
1189,"ga street,of ga street"
1190,"l fort,exit23a l fort,lft lane,exit23a lft lane"
1191,"r heights,exit98 r heights,rht lane,exit98 rht lane"
1192,"ga street,of ga street"
1193,"l fort,exit23a l fort,lft lane,exit23a lft lane"
1194,None
1195,"l fort,exit5 l fort,lft lane,exit5 lft lane"
1196,None
1197,"r heights,exit28 r heights,rht lane,exit28 rht lane"
1198,"8:12am expressway,ocrd: 8:12am expressway"
1199,None
1200,"5:56pm expressway,from: 5:56pm expressway"
