id,username,date,text,time,state,split_text
920398294072922112,fl511_panhandl,2017-10-17,updated: object on roadway in walton on i-10 west at mm 88 right lane blocked last updated at 05:16:35pm   …,21:17:08,Florida,"['updated:', 'object', 'on', 'roadway', 'in', 'walton', 'on', 'i-10', 'west', 'at', 'mm', '88', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '05:16:35pm', '…']"
920396769304997888,fl511_panhandl,2017-10-17,updated: object on roadway in walton on i-10 west at mm 88 right lane blocked last updated at 05:10:31pm   …,21:11:04,Florida,"['updated:', 'object', 'on', 'roadway', 'in', 'walton', 'on', 'i-10', 'west', 'at', 'mm', '88', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '05:10:31pm', '…']"
920396526207238144,fl511_panhandl,2017-10-17,new: object on roadway in walton on i-10 west at mm 88 right lane blocked last updated at 05:09:46pm #fl511   …,21:10:06,Florida,"['new:', 'object', 'on', 'roadway', 'in', 'walton', 'on', 'i-10', 'west', 'at', 'mm', '88', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '05:09:46pm', '#fl511', '…']"
920389974746378242,fl511_panhandl,2017-10-17,cleared: multi-vehicle crash in escambia on i-10 west at exit 10a us-29 right shoulder blocked last updated at 04:29:37pm,20:44:04,Florida,"['cleared:', 'multi-vehicle', 'crash', 'in', 'escambia', 'on', 'i-10', 'west', 'at', 'exit', '10a', 'us-29', 'right', 'shoulder', 'blocked', 'last', 'updated', 'at', '04:29:37pm']"
920384188792139777,fl511_panhandl,2017-10-17,cleared: disabled vehicle in escambia on sr-30 south at sr 30mm 1 right lane blocked last updated at 04:15:29pm,20:21:05,Florida,"['cleared:', 'disabled', 'vehicle', 'in', 'escambia', 'on', 'sr-30', 'south', 'at', 'sr', '30mm', '1', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '04:15:29pm']"
920382935689302016,fl511_panhandl,2017-10-17,new: disabled vehicle in escambia on sr-30 south at sr 30mm 1 right lane blocked last updated at 04:15:29pm  …,20:16:06,Florida,"['new:', 'disabled', 'vehicle', 'in', 'escambia', 'on', 'sr-30', 'south', 'at', 'sr', '30mm', '1', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '04:15:29pm', '…']"
920377902327353345,fl511_panhandl,2017-10-17,updated: multi-vehicle crash in escambia on i-10 west at exit 10a us-29 right shoulder blocked last updated at  …,19:56:06,Florida,"['updated:', 'multi-vehicle', 'crash', 'in', 'escambia', 'on', 'i-10', 'west', 'at', 'exit', '10a', 'us-29', 'right', 'shoulder', 'blocked', 'last', 'updated', 'at', '…']"
920374369628585985,fl511_panhandl,2017-10-17,new: crash in escambia on i-10 west at exit 10a us-29 right lane blocked last updated at 03:41:06pm #fl511   …,19:42:04,Florida,"['new:', 'crash', 'in', 'escambia', 'on', 'i-10', 'west', 'at', 'exit', '10a', 'us-29', 'right', 'lane', 'blocked', 'last', 'updated', 'at', '03:41:06pm', '#fl511', '…']"
920359279873454080,fl511_panhandl,2017-10-17,¡queremos sus opiniones! complete esta breve encuesta para ayudarnos a ofrecer la mejor experiencia de viaje   ,18:42:06,Florida,"['¡queremos', 'sus', 'opiniones!', 'complete', 'esta', 'breve', 'encuesta', 'para', 'ayudarnos', 'a', 'ofrecer', 'la', 'mejor', 'experiencia', 'de', 'viaje']"
920359203671298048,fl511_panhandl,2017-10-17,we want to hear from you! help us deliver the best travel experience by completing this brief survey   ,18:41:48,Florida,"['we', 'want', 'to', 'hear', 'from', 'you!', 'help', 'us', 'deliver', 'the', 'best', 'travel', 'experience', 'by', 'completing', 'this', 'brief', 'survey']"
920299520109568000,fl511_panhandl,2017-10-17,santa rosa county: high wind advisory is in effect for blackwater bridge motorists are asked to use caution  ,14:44:38,Florida,"['santa', 'rosa', 'county:', 'high', 'wind', 'advisory', 'is', 'in', 'effect', 'for', 'blackwater', 'bridge', 'motorists', 'are', 'asked', 'to', 'use', 'caution']"
